Date,TREMONT,DXY,MXWO,DBC,AGG,JPXN,QQQ,SHY,VIX,GLD,SLVR,EEM,IWM
7/31/2006,0.45%,0.16%,0.55%,2.19%,0.98%,-0.69%,-4.40%,0.31%,13.36%,3.10%,0.06687224448,2.32%,-0.02899573759
8/31/2006,-0.04%,-0.29%,2.36%,-3.38%,1.16%,1.42%,4.66%,0.39%,-19.43%,-1.39%,0.09658082801,1.57%,0.0295532289
9/29/2006,0.91%,1.15%,1.06%,-4.29%,0.61%,-1.46%,4.48%,0.11%,-2.72%,-4.63%,-0.08701137699,-0.87%,0.003199557574
10/31/2006,0.98%,-0.83%,3.55%,1.00%,0.27%,1.65%,4.64%,0.01%,-7.63%,1.29%,0.04486575554,6.82%,0.05708896698
11/30/2006,0.54%,-2.82%,2.24%,6.37%,0.64%,0.45%,3.37%,0.11%,-1.73%,6.66%,0.1243837197,5.81%,0.02385077413
12/29/2006,1.78%,0.84%,1.93%,-4.77%,-1.36%,2.71%,-2.02%,-0.60%,5.79%,-1.85%,-0.05870760083,3.90%,-0.0005124920035
1/31/2007,1.28%,1.13%,1.12%,-2.43%,-0.07%,0.80%,2.09%,0.16%,-10.38%,2.53%,0.03503785674,0.11%,0.01677507884
2/28/2007,0.61%,-1.22%,-0.65%,5.28%,1.23%,2.61%,-1.69%,0.35%,39.19%,2.51%,0.06869342546,-4.06%,-0.006574811901
3/30/2007,1.35%,-0.77%,1.58%,0.35%,-0.60%,-1.35%,0.46%,0.11%,-5.19%,-1.12%,-0.06944220872,5.97%,0.008589164842
4/30/2007,1.10%,-1.80%,4.12%,0.76%,0.20%,-2.30%,5.43%,-0.06%,-2.91%,2.03%,0.0111733006,3.66%,0.01535131551
5/31/2007,1.40%,1.04%,2.44%,-0.23%,-1.30%,3.23%,3.11%,-0.42%,-8.59%,-2.34%,-0.01869213301,4.81%,0.04196080582
6/29/2007,0.78%,-0.46%,-0.90%,0.74%,-0.81%,-0.69%,0.40%,0.11%,21.81%,-1.96%,-0.05507401723,3.75%,-0.01483635733
7/31/2007,0.60%,-1.41%,-2.31%,1.89%,0.64%,-0.67%,-0.15%,0.52%,37.10%,2.34%,0.03062665758,0.70%,-0.07325528335
8/31/2007,-2.07%,0.03%,-0.27%,-1.93%,0.83%,-2.78%,2.78%,0.83%,-0.60%,1.10%,-0.07881891441,1.04%,0.02104800495
9/28/2007,1.87%,-3.88%,4.51%,9.00%,0.20%,1.86%,5.07%,0.01%,-26.15%,9.99%,0.1330082433,10.95%,0.0163752242
10/31/2007,1.25%,-1.61%,2.94%,8.16%,0.59%,0.06%,6.80%,0.11%,2.90%,6.72%,0.0479176399,11.22%,0.02808758181
11/30/2007,0.36%,-0.44%,-4.34%,-0.62%,1.36%,-1.44%,-7.00%,1.40%,21.04%,-1.67%,-0.006304749431,-7.96%,-0.07227814548
12/31/2007,0.99%,0.72%,-1.38%,4.04%,-0.81%,-6.31%,-0.18%,-0.38%,-1.63%,6.44%,0.03656840707,-2.69%,-0.008655791747
1/31/2008,0.32%,-2.00%,-8.02%,2.87%,2.29%,-2.95%,-12.66%,1.64%,15.22%,10.29%,0.1258802459,-9.35%,-0.06784570496
2/29/2008,0.61%,-1.97%,-0.74%,10.57%,-0.56%,-1.66%,-4.95%,0.76%,1.29%,5.10%,0.1587483891,1.97%,-0.02975899144
3/31/2008,-3.15%,-2.63%,-1.26%,-0.92%,-0.24%,-2.32%,1.78%,0.05%,-3.57%,-6.19%,-0.08673340617,-3.83%,-0.008312114937
4/30/2008,0.66%,0.98%,4.86%,5.86%,-0.08%,8.14%,7.68%,-1.04%,-20.85%,-4.25%,-0.08827550377,8.74%,0.04453452637
5/30/2008,1.50%,0.51%,1.10%,6.68%,-1.59%,2.00%,5.76%,-0.54%,-15.36%,0.92%,0.02281011261,3.11%,0.0447805357
6/30/2008,0.52%,-0.57%,-8.45%,9.92%,-0.58%,-8.52%,-10.18%,-0.02%,29.51%,4.42%,0.04638512658,-10.87%,-0.07824752519
7/31/2008,-0.93%,1.05%,-2.56%,-10.29%,0.01%,-3.95%,0.64%,0.17%,-4.31%,-1.45%,-0.009678413152,-5.66%,0.03234591314
8/29/2008,-0.74%,5.52%,-1.61%,-6.76%,0.34%,-4.92%,1.44%,0.14%,-10.52%,-9.75%,-0.2392915377,-6.52%,0.03512999855
9/30/2008,-7.15%,2.64%,-12.87%,-10.81%,-2.17%,-6.85%,-17.00%,0.49%,64.58%,4.03%,-0.05989814158,-15.88%,-0.08279908636
10/31/2008,-9.89%,7.50%,-21.13%,-28.88%,-2.70%,-17.33%,-16.81%,0.76%,41.90%,-17.60%,-0.3340061441,-29.54%,-0.2351640382
11/28/2008,-3.59%,1.03%,-6.96%,-13.20%,2.56%,-5.24%,-12.17%,0.71%,-7.00%,11.84%,0.08665211706,-10.26%,-0.1269880629
12/31/2008,-1.15%,-6.21%,3.01%,-4.88%,5.68%,9.55%,2.11%,-0.17%,-33.36%,7.45%,0.06410611541,8.44%,0.03935069723
1/30/2009,2.70%,5.61%,-9.26%,-4.54%,-2.01%,-12.27%,-2.31%,-0.44%,11.42%,5.39%,0.1479085452,-9.75%,-0.1016666514
2/27/2009,1.39%,2.31%,-11.08%,-5.79%,-1.42%,-14.14%,-5.41%,-0.31%,3.31%,1.44%,0.05444579406,-6.47%,-0.1276392275
3/31/2009,1.33%,-2.97%,6.99%,4.55%,0.77%,6.91%,9.65%,0.34%,-4.89%,-2.57%,-0.007598820759,15.58%,0.07145896398
4/30/2009,1.61%,-0.96%,10.35%,-0.10%,0.17%,8.07%,12.28%,-0.33%,-19.01%,-3.39%,-0.03730036141,14.46%,0.1431166977
5/29/2009,2.90%,-6.43%,8.27%,15.07%,0.38%,9.68%,3.16%,-0.14%,-23.28%,9.74%,0.2060545784,14.79%,0.03344115442
6/30/2009,2.12%,0.98%,-0.62%,-2.66%,0.12%,-0.39%,2.79%,-0.25%,-9.31%,-5.36%,-0.1073671094,-3.09%,0.01797579267
7/31/2009,3.57%,-2.25%,8.04%,1.84%,0.93%,5.15%,8.10%,-0.02%,-1.65%,2.35%,-0.02248915962,10.45%,0.08425045613
8/31/2009,2.37%,-0.22%,3.84%,-4.12%,0.89%,2.27%,1.46%,0.27%,0.35%,0.05%,0.0646302264,-1.32%,0.02891041109
9/30/2009,2.29%,-1.96%,3.74%,-0.23%,0.86%,-2.41%,5.40%,0.11%,-1.55%,5.67%,0.1234220051,9.71%,0.05178268511
10/30/2009,1.68%,-0.46%,-1.86%,6.68%,-0.10%,-3.58%,-3.10%,0.01%,18.10%,3.66%,0.007268354227,-3.50%,-0.06710933059
11/30/2009,1.14%,-1.88%,3.80%,4.46%,0.97%,0.72%,6.15%,0.37%,-22.49%,12.03%,0.09052561325,7.56%,0.0307662791
12/31/2009,1.47%,3.90%,1.68%,-0.16%,-2.53%,2.01%,4.91%,-1.64%,-12.27%,-7.48%,-0.065494509,2.39%,0.07221256364
1/29/2010,1.66%,2.04%,-4.28%,-8.16%,1.40%,1.71%,-6.69%,0.79%,12.72%,-1.27%,-0.04207351307,-8.08%,-0.0380298786
2/26/2010,0.42%,1.13%,1.23%,4.06%,-0.11%,0.76%,4.50%,0.06%,-23.31%,3.22%,-0.01049068554,1.76%,0.04377885642
3/31/2010,1.16%,0.88%,5.76%,-0.47%,-0.32%,5.03%,7.32%,-0.36%,-10.31%,-0.44%,0.08214014385,7.80%,0.07664399395
4/30/2010,1.21%,0.97%,-0.16%,3.84%,0.66%,-1.66%,2.21%,0.20%,22.60%,5.72%,0.06203539092,-0.17%,0.05519408685
5/31/2010,-0.96%,5.61%,-10.43%,-10.70%,0.78%,-7.97%,-7.67%,0.36%,37.46%,3.01%,-0.004845231552,-9.86%,-0.07835768941
6/30/2010,0.28%,-0.66%,-3.63%,-1.79%,1.45%,-4.06%,-6.55%,0.33%,7.42%,2.33%,0.01126923651,-2.07%,-0.08067812964
7/30/2010,1.38%,-5.35%,7.71%,5.94%,0.56%,5.14%,7.01%,0.11%,-38.51%,-5.22%,-0.05935808163,10.38%,0.06193757965
8/31/2010,0.68%,2.02%,-4.00%,-3.06%,1.01%,-2.54%,-5.27%,0.15%,10.30%,5.55%,0.0662711642,-3.29%,-0.07735484367
9/30/2010,1.35%,-5.54%,8.72%,8.25%,-0.27%,5.34%,12.14%,0.04%,-9.45%,4.67%,0.1566458609,11.12%,0.1147875267
10/29/2010,1.44%,-1.86%,3.58%,4.34%,-0.09%,1.06%,6.15%,0.14%,-11.15%,3.62%,0.08216655298,2.97%,0.04064420094
11/30/2010,0.59%,4.96%,-2.37%,-0.44%,-1.09%,2.67%,-0.18%,-0.28%,10.47%,2.09%,0.1242543534,-2.95%,0.03425710723
12/31/2010,0.84%,-2.71%,7.00%,9.43%,-1.52%,6.07%,4.46%,-0.32%,-28.23%,2.41%,0.1213397942,6.20%,0.07275211967
1/31/2011,1.32%,-1.65%,2.16%,3.50%,-0.09%,-0.17%,2.79%,0.13%,9.56%,-6.59%,-0.09874408065,-3.92%,-0.003713430223
2/28/2011,1.03%,-1.09%,3.28%,4.09%,-0.01%,5.57%,3.11%,-0.20%,-6.23%,5.83%,0.1880110466,-0.04%,0.05391461518
3/31/2011,0.65%,-1.35%,-1.24%,2.62%,-0.49%,-11.23%,-0.59%,-0.20%,-3.38%,1.58%,0.1229123551,6.10%,0.02285635254
4/29/2011,0.91%,-3.93%,3.94%,4.46%,1.26%,1.63%,2.83%,0.45%,-18.46%,8.57%,0.2515197882,2.70%,0.02603336515
5/31/2011,0.32%,2.31%,-2.48%,-5.31%,0.93%,-2.46%,-1.23%,0.28%,4.64%,-1.81%,-0.2311322551,-2.98%,-0.01810479867
6/30/2011,-0.19%,-0.45%,-1.74%,-4.36%,-0.74%,1.16%,-2.27%,-0.08%,6.70%,-2.46%,-0.09862744818,-1.93%,-0.02433906831
7/29/2011,0.29%,-0.55%,-1.91%,4.46%,1.39%,2.55%,1.65%,0.21%,42.43%,8.08%,0.1236670803,-1.03%,-0.03765671944
8/31/2011,-0.88%,0.30%,-7.54%,-0.40%,1.23%,-9.01%,-5.20%,0.27%,22.50%,11.58%,0.04248601427,-9.71%,-0.09311795194
9/30/2011,-0.72%,5.81%,-9.26%,-15.81%,0.56%,-4.39%,-4.78%,-0.17%,30.65%,-11.72%,-0.3059864273,-19.73%,-0.1220937588
10/31/2011,0.35%,-3.09%,9.76%,7.37%,-0.07%,0.42%,9.90%,-0.02%,-36.04%,5.71%,0.1173085571,15.10%,0.140640588
11/30/2011,0.16%,2.87%,-2.72%,-0.29%,-0.59%,0.00%,-2.73%,-0.01%,-7.48%,1.65%,-0.08818028419,-1.99%,-0.003790447208
12/30/2011,0.35%,2.26%,-0.17%,-2.94%,0.79%,-4.66%,-1.00%,-0.05%,-17.23%,-11.27%,-0.1066017606,-5.31%,0.0002712232184
1/31/2012,1.20%,-1.12%,4.81%,3.62%,0.72%,5.13%,8.08%,0.08%,-18.54%,10.79%,0.1759135605,10.43%,0.06901998976
2/29/2012,0.55%,-0.70%,4.56%,5.22%,-0.26%,5.29%,6.21%,-0.18%,-5.34%,-3.01%,0.1025888209,5.14%,0.0253652632
3/30/2012,0.60%,0.34%,1.02%,-1.79%,-0.82%,1.23%,4.76%,-0.12%,-17.31%,-1.33%,-0.1380309676,-3.17%,0.02148257886
4/30/2012,0.24%,-0.29%,-1.38%,-1.36%,0.68%,-3.68%,-1.18%,0.17%,10.12%,-0.15%,-0.0386658255,-1.71%,-0.01631397272
5/31/2012,-0.13%,5.28%,-9.42%,-11.83%,0.86%,-9.67%,-7.30%,0.02%,33.86%,-6.55%,-0.1046485185,-11.31%,-0.06805519204
6/29/2012,-0.17%,-1.72%,4.81%,2.00%,-0.23%,5.42%,3.33%,-0.13%,-34.26%,2.33%,-0.0369741283,3.74%,0.04433179171
7/31/2012,1.05%,1.23%,1.19%,5.66%,1.15%,-3.22%,0.99%,0.19%,10.28%,0.83%,0.0405265299,-0.04%,-0.01532548518
8/31/2012,0.65%,-1.74%,2.26%,5.50%,-0.20%,-0.10%,5.06%,-0.02%,-8.03%,4.82%,0.07906022847,0.41%,0.03474357104
9/28/2012,0.17%,-1.58%,2.49%,-0.38%,0.07%,1.15%,0.60%,-0.01%,-10.49%,4.56%,0.1269155192,5.08%,0.02819827085
10/31/2012,-0.15%,-0.02%,-0.76%,-3.98%,-0.23%,-1.49%,-5.42%,-0.09%,16.76%,-2.99%,-0.07084988223,-0.42%,-0.02193096923
11/30/2012,0.59%,0.29%,1.07%,1.94%,0.05%,4.52%,1.30%,0.02%,-15.87%,-0.47%,0.06011425033,1.53%,0.005497539959
12/31/2012,0.62%,-0.48%,1.73%,-1.15%,-1.05%,4.71%,-1.02%,-0.02%,12.71%,-2.46%,-0.1350327692,5.96%,0.02689861195
1/31/2013,0.86%,-0.71%,4.88%,2.45%,-0.62%,2.18%,2.64%,0.01%,-23.26%,-0.51%,0.06714363906,-0.30%,0.06053908741
2/28/2013,0.56%,3.40%,-0.02%,-4.82%,0.40%,2.54%,0.34%,0.04%,8.26%,-5.22%,-0.1011027596,-2.31%,0.009996751029
3/29/2013,0.54%,1.25%,2.07%,0.66%,-0.09%,4.95%,2.75%,0.01%,-19.99%,0.96%,-0.01076586193,-1.01%,0.04272998747
4/30/2013,0.88%,-1.49%,2.86%,-3.88%,0.73%,7.68%,2.51%,0.05%,6.26%,-7.88%,-0.1594018734,1.21%,-0.003500772684
5/31/2013,0.26%,1.97%,-0.29%,-1.57%,-2.20%,-7.08%,3.51%,-0.15%,18.70%,-6.40%,-0.07878087785,-4.96%,0.03856653045
6/28/2013,-0.70%,-0.29%,-2.64%,-2.86%,-1.76%,2.42%,-2.74%,-0.12%,3.38%,-11.72%,-0.1795783136,-6.77%,-0.008213598537
7/31/2013,0.08%,-2.05%,5.06%,3.13%,0.08%,-0.94%,6.12%,0.14%,-22.60%,7.17%,0.05568448733,1.32%,0.06635709848
8/30/2013,0.12%,0.78%,-2.36%,2.78%,-1.02%,-1.63%,-0.40%,-0.12%,23.48%,5.07%,0.170212428,-2.57%,-0.03210509276
9/30/2013,0.35%,-2.30%,4.70%,-3.43%,0.93%,8.42%,4.42%,0.20%,-2.44%,-4.90%,-0.08655001597,6.95%,0.06021433174
10/31/2013,0.67%,-0.03%,3.76%,-0.04%,0.65%,0.82%,4.84%,0.05%,-18.84%,-0.34%,0.02370211231,4.09%,0.02391216806
11/29/2013,0.50%,0.60%,1.58%,-0.94%,-0.43%,1.29%,3.49%,0.07%,-0.36%,-5.67%,-0.1078661547,-0.25%,0.03880145474
12/31/2013,0.35%,-0.80%,1.99%,0.59%,-0.94%,0.90%,2.57%,-0.22%,0.15%,-3.87%,-0.02181166866,-1.32%,0.01616673477
1/31/2014,0.71%,1.58%,-3.84%,-3.09%,1.53%,-6.92%,-1.94%,0.20%,29.40%,3.36%,-0.009791369129,-9.02%,-0.02813125025
2/28/2014,0.62%,-2.01%,4.70%,4.90%,0.18%,1.31%,4.61%,0.01%,-27.38%,6.08%,0.09667453277,3.32%,0.04668210858
3/31/2014,-0.18%,0.51%,-0.09%,-0.04%,-0.33%,-2.56%,-3.00%,-0.13%,-0.86%,-3.19%,-0.06306648178,3.80%,-0.01009159338
4/30/2014,0.03%,-0.78%,0.83%,1.10%,0.63%,-2.52%,-0.32%,0.08%,-3.44%,0.49%,-0.03516285825,0.78%,-0.03819665456
5/30/2014,0.45%,1.12%,1.61%,-1.45%,0.99%,4.86%,4.39%,0.15%,-16.24%,-3.10%,-0.01462931002,2.91%,0.00782782862
6/30/2014,-0.06%,-0.74%,1.63%,2.09%,-0.25%,3.79%,2.81%,-0.11%,1.48%,6.13%,0.09387374192,1.59%,0.05137746593
7/31/2014,0.29%,2.09%,-1.68%,-4.86%,-0.43%,-0.24%,1.18%,-0.11%,38.19%,-3.70%,-0.008662229332,1.36%,-0.06628602812
8/29/2014,0.40%,1.57%,1.98%,-1.15%,0.96%,-1.58%,4.89%,0.15%,-34.70%,0.38%,-0.06077567237,2.79%,0.04716661153
9/30/2014,0.55%,3.78%,-2.92%,-7.51%,-0.79%,-0.74%,-1.00%,-0.11%,30.85%,-6.38%,-0.1292117315,-8.09%,-0.06385241476
10/31/2014,-0.25%,1.14%,0.57%,-3.95%,0.89%,2.51%,2.61%,0.22%,-15.06%,-3.10%,-0.05465184567,1.41%,0.06385241476
11/28/2014,1.17%,1.64%,1.82%,-8.90%,0.48%,-3.33%,4.45%,0.07%,-5.12%,-0.49%,-0.01429928001,-1.55%,0.001114683931
12/31/2014,0.41%,2.14%,-1.73%,-10.15%,-0.44%,-2.87%,-2.64%,-0.37%,36.49%,1.30%,0,-5.47%,0.0247992058
1/30/2015,1.01%,4.90%,-1.90%,-5.86%,2.03%,1.59%,-2.10%,0.63%,8.82%,8.33%,0.05778439195,-0.69%,-0.03331941742
2/27/2015,0.68%,0.51%,5.53%,4.33%,-1.06%,7.04%,6.97%,-0.33%,-45.23%,-6.09%,-0.02331944235,4.31%,0.05776324386
3/31/2015,0.33%,3.16%,-1.82%,-6.24%,0.21%,1.82%,-2.62%,0.21%,13.64%,-2.18%,0.00422578353,-1.51%,0.01449711561
4/30/2015,-0.42%,-3.89%,2.14%,6.90%,-0.51%,2.71%,1.90%,-0.01%,-4.96%,-0.17%,-0.00483092727,6.63%,-0.02598395015
5/29/2015,0.07%,2.41%,0.05%,-3.22%,-0.62%,1.54%,2.22%,0.00%,-5.00%,0.55%,0.00903892867,-4.19%,0.02211703161
6/30/2015,-0.74%,-1.48%,-2.49%,1.62%,-1.27%,-1.49%,-2.75%,-0.01%,27.55%,-1.53%,-0.05994998441,-3.72%,0.007799034506
7/31/2015,0.79%,1.92%,1.71%,-13.48%,0.66%,0.21%,4.46%,0.00%,-40.82%,-6.85%,-0.07538266959,-6.52%,-0.0153340104
8/31/2015,-0.93%,-1.57%,-7.05%,-0.25%,-0.53%,-6.06%,-7.07%,-0.09%,85.26%,3.64%,-0.008275909304,-9.25%,-0.06518935097
9/30/2015,-0.09%,0.55%,-3.94%,-3.50%,0.60%,-6.08%,-2.48%,0.25%,-14.88%,-1.82%,0.014438202,-3.18%,-0.05348868495
10/30/2015,-0.08%,0.62%,7.54%,0.33%,-0.12%,8.60%,10.77%,-0.19%,-48.60%,2.26%,0.06475180897,6.18%,0.05470322488
11/30/2015,0.62%,3.27%,-0.67%,-6.88%,-0.59%,1.33%,0.61%,-0.31%,6.80%,-6.99%,-0.1044367937,-2.56%,0.03207918817
12/31/2015,-0.24%,-1.55%,-1.88%,-6.03%,-0.74%,-3.18%,-1.91%,-0.25%,12.13%,-0.45%,-0.01863853239,-5.44%,-0.05594415653
1/29/2016,0.31%,0.98%,-6.24%,-4.44%,1.23%,-6.14%,-7.16%,0.65%,10.37%,5.27%,0.01863853239,-5.16%,-0.08967875654
2/29/2016,-0.95%,-1.41%,-0.97%,-0.24%,0.67%,-3.92%,-1.58%,0.06%,1.72%,10.37%,0.04648773206,-0.82%,-0.00223637606
3/31/2016,-0.40%,-3.76%,6.32%,4.15%,0.67%,4.61%,6.33%,0.08%,-38.74%,-0.85%,0.04182488129,12.19%,0.07408711282
4/29/2016,-0.08%,-1.60%,1.37%,9.26%,0.06%,-0.26%,-3.24%,-0.02%,11.82%,4.98%,0.149215617,0.41%,0.01658412802